"index","alpha","group"
267,0.471324229286736,"Other"
268,0.00779084725383755,"Other"
269,0.00652776545782437,"Other"
270,0.77576539614437,"Other"
271,0.000153567820997839,"Other"
272,0.00798765256274935,"Other"
273,0.306092555812411,"Other"
274,1.320457122988,"Other"
275,0.783303646250376,"Other"
276,0.730411146621041,"Other"
277,0.4327219506956,"Other"
278,0.409348247058469,"Other"
279,1.0816471277686,"Other"
280,0.030125659471089,"Other"
281,-0.00213943236238371,"Other"
282,1.37840580309059,"Other"
283,0.845591304068037,"Other"
284,0.802268262485269,"Other"
285,0.880843911933801,"Other"
286,0.80053133755752,"Other"
287,1.07005810578515,"Other"
288,1.10207331688269,"Other"
289,0.0523601979551572,"Other"
290,1.02951228557974,"Other"
291,0.44781878068869,"Other"
292,1.45049753537054,"Other"
293,0.0103488033256922,"Other"
294,0.33152010112539,"Other"
295,0.242785685442853,"Other"
296,1.08164712776861,"Other"
297,0.368262032290663,"Other"
298,1.344049091726,"Other"
299,0.585819314720553,"Other"
300,0.845591304068036,"Other"
301,0.334305148687785,"Other"
302,0.167329711720615,"Other"
303,1.7538552018202,"Other"
304,0.426936236515686,"Other"
305,1.71387580760481,"Other"
306,0.0816964412294232,"Other"
307,-0.0635722451941708,"Other"
308,0.0816964412294227,"Other"
309,0.306092555812413,"Other"
310,0.705845382806845,"Other"
311,0.361960264162496,"Other"
312,0.810419130340211,"Other"
313,0.0236266112872134,"Other"
314,0.0631998633390916,"Other"
315,0.0433722515153042,"Other"
316,1.48916323076641,"Other"
317,0.361960264162495,"Other"
318,1.66130510140516,"Other"
319,0.740868520402776,"Other"
320,2.23743086190796,"Other"
321,0.103091104180699,"Other"
322,9.4400800783059,"Other"
323,0.368262032290669,"Other"
324,0.908392349664508,"Other"
325,0.00804700602021363,"Other"
326,1.28130143215779,"Other"
327,0.0724798458561288,"Other"
328,0.448579928709173,"Other"
329,0.845591304068034,"Other"
330,0.222845215578314,"Other"
331,1.05192925724338,"Other"
332,0.128232220679084,"Other"
333,0.426936236515684,"Other"
334,0.775765396144368,"Other"
335,0.186697286439148,"Other"
336,0.368262032290666,"Other"
337,0.447818780688691,"Other"
338,0.134485852300906,"Other"
339,0.0142621600626695,"Other"
340,0.0116686159893802,"Other"
341,-0.0206795640766416,"Other"
342,1.71653158933352,"Other"
343,0.250803095742031,"Other"
344,0.988048224455256,"Other"
345,0.161055965537192,"Other"
346,0.000285776404360725,"Other"
347,-0.00505318400515101,"Other"
348,0.211306404036589,"Other"
349,0.55414852858544,"Other"
350,0.335046475556362,"Other"
351,2.56632270197622,"Other"
352,0.777580191812382,"Other"
353,0.254678655551879,"Other"
354,0.734317491548677,"Other"
355,0.156232272081519,"Other"
356,-0.022396760813318,"Other"
357,0.885070049735463,"Other"
358,0.306092555812412,"Other"
359,1.08164712776861,"Other"
360,1.37562793950257,"Other"
361,-0.703519559223631,"Other"
362,0.388409167795507,"Other"
363,0.0954283822925814,"Other"
364,0.262556660332981,"Other"
365,0.449449726074848,"Other"
366,0.175662808771313,"Other"
367,0.323055419642703,"Other"
368,1.82974283594204,"Other"
369,0.418084123318869,"Other"
370,0.0366914105434436,"Other"
371,0.0330238784816483,"Other"
372,1.82974283594205,"Other"
373,0.0349292258628311,"Other"
374,0.24278568544285,"Other"
375,-0.00476459525427172,"Other"
376,1.22088459301325,"Other"
377,1.53303657926333,"Other"
378,0.0251475148764784,"Other"
379,4.4046234016562,"Other"
380,0.54533209517248,"Other"
381,0.908392349664509,"Other"
382,1.87493079029061,"Other"
383,0.2280222354534,"Other"
384,0.348527063236442,"Other"
385,0.143845360147543,"Other"
386,0.326610297148404,"Other"
387,0.00452402995991223,"Other"
388,-0.492162117159424,"Other"
389,0.1711188268164,"Other"
390,0.0301256594710892,"Other"
391,0.0130213863398437,"Other"
392,0.0770038758160407,"Other"
393,0.740868520402776,"Other"
394,1.12972028132857,"Other"
395,1.18255102746544,"Other"
396,0.251021901655306,"Other"
397,0.373501486695306,"Other"
398,0.306092555812411,"Other"
399,0.161423968986341,"Other"
400,0.24278568544285,"Other"
401,0.0330238784816477,"Other"
402,0.143845360147543,"Other"
403,1.39709908752127,"Other"
404,1.31167564070433,"Other"
405,2.64375951052272,"Other"
406,3.38545519084139,"Other"
407,0.928474468370792,"Other"
408,0.0413603247382981,"Other"
409,0.0350527408627957,"Other"
410,0.544843661404699,"Other"
411,0.830512585931617,"Other"
412,0.546368030713653,"Other"
413,0.630821507808859,"Other"
414,0.0218064107417322,"Other"
415,0.00101472999454854,"Other"
416,0.00498103409496509,"Other"
417,0.39986468844126,"Other"
418,0.0218064107417335,"Other"
419,0.0980436191223482,"Other"
420,0.348527063236443,"Other"
421,-0.00969688098930328,"Other"
422,-0.0377285683313379,"Other"
423,0.39986468844126,"Other"
424,0.0218064107417335,"Other"
425,0.71372931650841,"Other"
426,0.748450625693209,"Other"
427,0.210501484784989,"Other"
428,-0.000508544173133942,"Other"
429,0.0816964412294223,"Other"
430,0.0410950159805508,"Other"
431,0.065824963806766,"Other"
432,0.000285776404359791,"Other"
433,0.0980436191223486,"Other"
434,0.775765396144366,"Other"
435,-0.025638747257235,"Other"
436,0.0786528640443734,"Other"
437,2.99705687938937,"Other"
438,0.71372931650841,"Other"
439,0.109299218803168,"Other"
440,1.65802365176614,"Other"
441,0.196010695096477,"Other"
442,0.199824297753778,"Other"
443,0.300649633452251,"Other"
444,0.175662808771315,"Other"
445,0.39260237643025,"Other"
446,0.340070985339078,"Other"
447,0.0126899834898649,"Other"
448,0.0472687728896209,"Other"
449,0.655613010983602,"Other"
450,0.0624055445909238,"Other"
451,-0.0230792281025385,"Other"
452,0.471324229286737,"Other"
453,0.653084083444898,"Other"
454,0.339973214953981,"Other"
455,1.26629336610679,"Other"
456,1.29690390250218,"Other"
457,0.0752254963055033,"Other"
458,0.0795573176668309,"Other"
459,2.23600037184938,"Other"
460,0.471324229286735,"Other"
461,0.520798319215399,"Other"
462,0.825988187150588,"Other"
463,0.323055419642704,"Other"
464,0.865156389940421,"Other"
465,0.175662808771314,"Other"
466,0.92847446837079,"Other"
467,0.13035853592269,"Other"
468,0.908392349664509,"Other"
469,0.810419130340212,"Other"
470,0.216870814383266,"Other"
471,0.0969656814176289,"Other"
472,0.137597465527939,"Other"
473,0.0374579184013743,"Other"
474,1.06613041438788,"Other"
475,-0.23738954702435,"Other"
476,0.968042728251199,"Other"
477,0.0251475148764772,"Other"
478,0.0126899834898639,"Other"
479,0.471324229286736,"Other"
480,0.55251109658312,"Other"
481,0.0113589097544353,"Other"
482,0.684958744297357,"Other"
483,-0.23738954702435,"Other"
484,-0.17044679784053,"Other"
485,0.00647543558568668,"Other"
486,1.02655684103358,"Other"
487,0.0680640752474799,"Other"
488,0.118052182144171,"Other"
