"index","alpha","group"
180,0.752176270537754,"Other"
181,0.33791333209075,"Other"
182,0.420451092843374,"Other"
183,0.621212308160064,"Other"
184,0.351119437811788,"Other"
185,0.430179750168257,"Other"
186,0.785572540979596,"Other"
187,0.355210731070377,"Other"
188,0.0143374436575752,"Other"
189,0.456551557002639,"Other"
190,0.25535429923117,"Other"
191,0.50871993622854,"Other"
192,0.27361621582957,"Other"
193,0.464817009997082,"Other"
194,0.471812900173327,"Other"
195,0.340343830409712,"Other"
196,0.526972544603863,"Other"
197,0.340343830409703,"Other"
198,0.435835448146966,"Other"
199,0.526972544603864,"Other"
200,-0.0300855647826954,"Other"
201,-0.283474212551728,"Other"
202,-0.111496063980319,"Other"
203,-0.528253498867144,"Other"
204,-0.518203652011876,"Other"
205,-0.589595144754146,"Other"
206,-0.7651644698614,"Top 10"
207,-0.0760944816484594,"Other"
208,0.652018798908357,"Other"
209,0.505318095477169,"Other"
210,0.578198118562586,"Other"
211,0.0673334728585147,"Other"
212,0.112239944803778,"Other"
213,0.454987031775609,"Other"
214,0.588220849665229,"Other"
215,0.631720363587331,"Other"
216,0.316095407498065,"Other"
217,0.0429246915054632,"Other"
218,0.198833860751584,"Other"
219,0.207349575229692,"Other"
220,0.372528821108957,"Other"
221,-0.191938171024579,"Other"
222,-0.232402151461267,"Other"
223,-0.192924383509891,"Other"
224,-0.0778571238991153,"Other"
225,-0.0778571238991433,"Other"
226,-0.193460831266878,"Other"
227,-0.148901125594684,"Other"
228,-0.134886757295738,"Other"
229,-0.189190406391007,"Other"
230,-0.0916113322631298,"Other"
231,-0.193435264641103,"Other"
232,-0.133472904632956,"Other"
233,-0.133472904632942,"Other"
234,-0.134466912928756,"Other"
235,-0.271107894876417,"Other"
236,-0.0991803391700485,"Other"
237,-0.217128572001897,"Other"
238,-0.0482994031261544,"Other"
239,-0.336115001956763,"Other"
240,-0.189633154656314,"Other"
241,-0.438023781199725,"Other"
242,-0.354312391263011,"Other"
243,-0.390819064170755,"Other"
244,-0.132585413442515,"Other"
245,-0.42269872329151,"Other"
246,-0.018113665921562,"Other"
247,-0.408499716982779,"Other"
248,-0.433270314834227,"Other"
249,-0.334677510139043,"Other"
250,-0.136369345499432,"Other"
251,-0.152820499078301,"Other"
252,-0.353035944663596,"Other"
253,-0.246181926451046,"Other"
254,-0.255881484237019,"Other"
255,-0.208462833155969,"Other"
